"countWithDist","type"
-0.743459480910059,"Original"
0.0214474750038233,"Original"
-0.0178375487855169,"Original"
-0.76287975724115,"Original"
-0.0295583511131975,"Original"
-0.733446484487005,"Original"
-0.72365915237451,"Original"
0.00347410399192238,"Original"
-0.781823952879614,"Original"
0.179781561078433,"Original"
7.364,"Original"
5.79,"Original"
5.78094711026485,"Original"
5.89489046257169,"Original"
6.357,"Original"
5.73518961970418,"Original"
5.6840370972568,"Original"
6.42613539014745,"Original"
5.86012835631248,"Original"
5.5590983606485,"Original"
2.66706956730496,"Original"
3.0365200116375,"Original"
2.97773851673898,"Original"
2.70577727029809,"Original"
-1.14841983245782,"Original"
-1.21805576059922,"Original"
3.07927199205845,"Original"
2.63261405793946,"Original"
2.97407356265258,"Original"
3.04394402971671,"Original"
1.27207513287705,"Original"
0.757119171536589,"Original"
0.748993286864724,"Original"
-0.246134840102109,"Original"
1.27207513287705,"Original"
-0.243323862768281,"Original"
-0.244125144327509,"Original"
1.27035685375368,"Original"
0.760495627664436,"Original"
0.765095804811059,"Original"
0.247468025657278,"Original"
0.89546561630048,"Original"
0.744821479457279,"Original"
0.744821479457279,"Original"
0.785250136512887,"Original"
0.26519679261771,"Original"
0.794795454419117,"Original"
0.785250136512887,"Original"
0.199695243861277,"Original"
0.219439302057034,"Original"
2.08106119702628,"Original"
1.99056082680498,"Original"
2.03275651745173,"Original"
1.8885127878833,"Original"
4.8779601413836,"Original"
2.03530370646561,"Original"
2.09010932600368,"Original"
2.06947932447647,"Original"
4.86256581389334,"Original"
2.08786490508123,"Original"
-0.324028809973766,"Original"
0.216451610045296,"Original"
-0.342742805237619,"Original"
-0.317807405218998,"Original"
0.177811324070387,"Original"
-0.335754007586788,"Original"
-0.337242168318426,"Original"
-0.346279836275676,"Original"
0.194864337404003,"Original"
-0.324028809973766,"Original"
7.6904,"Original"
5.79,"Original"
5.79,"Original"
7.6904,"Original"
5.79,"Original"
6.5069,"Original"
6.5069,"Original"
6.5069,"Original"
6.5069,"Original"
6.5069,"Original"
-1.45920966541096,"Original"
0.512344190786409,"Original"
0.465975448215042,"Original"
0.994036749405435,"Original"
1.0365891000909,"Original"
0.676311509542363,"Original"
0.953919526197452,"Original"
0.453566190233222,"Original"
3.14045329228546,"Original"
0.824285668380772,"Original"
0.35211325375804,"Original"
-1.728712284929,"Original"
3.54051182598631,"Original"
-0.0458267549139979,"Original"
0.961667112977655,"Original"
0.660637117313674,"Original"
3.23948183032232,"Original"
-0.184460922700583,"Original"
-0.128741226373269,"Original"
0.660637117313674,"Original"
7.364,"Original"
7.364,"Original"
5.79,"Original"
6.04216849583861,"Original"
6.04518314196246,"Original"
6.27724587725228,"Original"
7.364,"Original"
5.79,"Original"
6.04433800048688,"Original"
5.79,"Original"
5.31923891024509,"Original"
4.85931284610123,"Original"
5.47414087023084,"Original"
4.84884741242307,"Original"
5.79,"Original"
4.87951623218952,"Original"
4.85931284610123,"Original"
4.80426527977033,"Original"
4.70468669541783,"Original"
5.79,"Original"
3.62129896681613,"Original"
3.56554373456052,"Original"
4.54039909463285,"Original"
3.58016782606925,"Original"
4.49048564430102,"Original"
3.58871159961254,"Original"
3.62129896681613,"Original"
4.54039909463285,"Original"
3.80526083531851,"Original"
2.50395145910117,"Original"
4.00146500013101,"Original"
4.0120499323551,"Original"
7.364,"Original"
4.00291056170719,"Original"
2.31518374460727,"Original"
4.00233291433952,"Original"
4.00968834697149,"Original"
4.00578732966841,"Original"
3.99494875868582,"Original"
3.99021955244176,"Original"
-0.155228620010097,"Original"
1.03044606515429,"Original"
-0.144576493376063,"Original"
1.04822861138318,"Original"
1.04531495875721,"Original"
1.05048134809285,"Original"
-0.163476009556928,"Original"
-0.158838190694838,"Original"
-0.157193756765328,"Original"
1.03678624318531,"Original"
2.18762808199119,"Original"
2.18767164321211,"Original"
2.18697413881259,"Original"
1.34455092488983,"Original"
1.32084566844834,"Original"
2.18451304447998,"Original"
1.32232812683119,"Original"
2.18639566880232,"Original"
1.31911702205118,"Original"
2.18606789112047,"Original"
0.731758361784385,"Original"
0.735976894048924,"Original"
0.735304676471507,"Original"
0.72907949174849,"Original"
0.73031467523939,"Original"
0.733112755574895,"Original"
0.725610770154922,"Original"
0.722590629458772,"Original"
0.736731897201626,"Original"
0.732816842644449,"Original"
2.73927315443849,"Original"
3.82659592161212,"Original"
2.65212297871959,"Original"
2.88582039720978,"Original"
2.6009704562722,"Original"
3.63030127646816,"Original"
3.73944574589322,"Original"
2.4760317196639,"Original"
3.48417324078992,"Original"
2.29994046060822,"Original"
2.96775798308745,"Original"
2.86047556195772,"Original"
2.9323318640085,"Original"
2.68365136059034,"Original"
2.71684277985032,"Original"
2.95378286509413,"Original"
2.87974644652915,"Original"
2.87060306708928,"Original"
2.87974644652915,"Original"
2.94927457739343,"Original"
3.17227829659091,"Original"
2.61984198477718,"Original"
6.43626876005493,"Original"
3.11013038984207,"Original"
6.44740512617289,"Original"
3.06313382716584,"Original"
2.53717241088374,"Original"
2.54412127083907,"Original"
3.04411058985241,"Original"
2.55096069536937,"Original"
0.622401795567487,"Original"
0.379667075558148,"Original"
1.14173892211467,"Original"
2.88061265101168,"Original"
0.644583355802467,"Original"
0.695535604102004,"Original"
0.644583355802467,"Original"
0.404490659283181,"Original"
2.88384162114188,"Original"
0.381488019449774,"Original"
3.20728477541442,"Original"
3.22287886076332,"Original"
6.13739183159791,"Original"
6.14126034352315,"Original"
3.1650100979064,"Original"
3.22958451866362,"Original"
3.21606803928778,"Original"
3.17120621410818,"Original"
