"countWithDist","type"
-0.743459480910059,"Original"
-0.401412686911589,"Original"
-0.440697710700929,"Original"
-0.76287975724115,"Original"
-0.452418513028609,"Original"
-0.733446484487005,"Original"
-0.72365915237451,"Original"
-0.41938605792349,"Original"
-0.781823952879614,"Original"
-0.706349509019136,"Original"
7.364,"Original"
4.37351325298475,"Original"
2.91551982857343,"Original"
3.02946318088027,"Original"
2.7046284910969,"Original"
2.86976233801276,"Original"
2.81860981556538,"Original"
1.99957822309979,"Original"
2.99470107462106,"Original"
2.69367107895708,"Original"
1.19689546903555,"Original"
0.619135056175769,"Original"
1.18547599562885,"Original"
1.23560317202867,"Original"
-1.14841983245782,"Original"
-1.21805576059922,"Original"
0.661887036596719,"Original"
1.16243995967005,"Original"
1.18181104154244,"Original"
0.626559074254976,"Original"
0.181172720342926,"Original"
0.236542491218515,"Original"
0.22841660654665,"Original"
-0.246134840102109,"Original"
0.181172720342926,"Original"
-0.243323862768281,"Original"
-0.244125144327509,"Original"
0.179454441219556,"Original"
0.239918947346362,"Original"
0.244519124492985,"Original"
-1.36797185176149,"Original"
-0.0869918362151698,"Original"
-0.237635973058371,"Original"
-0.237635973058371,"Original"
-0.197207316002763,"Original"
-1.35024308480106,"Original"
-0.187661998096533,"Original"
-0.197207316002763,"Original"
-1.41574463355749,"Original"
-1.39600057536173,"Original"
0.87518042006533,"Original"
0.00774936812309113,"Original"
0.826875740490775,"Original"
0.367227529128219,"Original"
2.35095826336736,"Original"
0.829422929504655,"Original"
0.884228549042727,"Original"
0.863598547515515,"Original"
2.3355639358771,"Original"
0.881984128120275,"Original"
-0.324028809973766,"Original"
-0.138294512833318,"Original"
-0.342742805237619,"Original"
-0.317807405218998,"Original"
-0.176934798808227,"Original"
-0.335754007586788,"Original"
-0.337242168318426,"Original"
-0.346279836275676,"Original"
-0.159881785474611,"Original"
-0.324028809973766,"Original"
4.57970440308765,"Original"
5.44713692880045,"Original"
5.39930218018093,"Original"
4.58097241707429,"Original"
5.40226665914467,"Original"
4.2961805817123,"Original"
4.31076894352278,"Original"
4.27968640385074,"Original"
4.25814672599463,"Original"
4.27119829362522,"Original"
-1.45920966541096,"Original"
