"","day","mean","sd","n"
"1",1,-0.723529855899805,0.990127277736486,100000
"2",2,-0.717489112380219,0.990178876521467,100000
"3",3,-0.631224715462005,0.999672832938615,100000
"4",4,-0.520926663218141,1.02720812736342,100000
"5",5,-0.407076865467506,1.07757044042073,100000
"6",6,-0.245734404713131,1.1368707764591,100000
"7",7,-0.0246541620463658,1.1899429934177,100000
"8",8,0.273388028484646,1.22958738006237,100000
"9",9,0.571430219015659,1.29091599336759,100000
"10",10,0.869472409546671,1.37102197566432,100000
"11",11,1.18989609906361,1.43930890623509,100000
"12",12,1.52665720422437,1.50032813509808,100000
"13",13,1.8633237147518,1.57228380535146,100000
"14",14,2.20717621370694,1.63957606289351,100000
"15",15,2.55443545756569,1.70469937766154,100000
"16",16,2.89811407050116,1.77062784554263,100000
"17",17,3.23462560419225,1.83129446265777,100000
"18",18,3.56007196470906,1.88329142258153,100000
"19",19,3.90009536550765,1.85339635448003,100000
"20",20,4.22890518772229,1.78924862657623,100000
"21",21,4.53252035284715,1.71222291492922,100000
"22",22,4.80836993936706,1.62582097844454,100000
"23",23,5.0578855068441,1.5350588873035,100000
"24",24,5.28396153034441,1.44386787659094,100000
"25",25,5.4883300460231,1.35415002454829,100000
"26",26,5.67261869319596,1.26680486744135,100000
"27",27,5.83625360360113,1.18202676452807,100000
"28",28,5.97792552536077,1.09965104766179,100000
"29",29,6.09685278132557,1.01968945166108,100000
"30",30,6.1937012010915,0.942559692016238,100000
"31",31,6.27173226267183,0.870128886509837,100000
"32",32,6.33576786645915,0.805328598358872,100000
"33",33,6.38970110848549,0.751597692682571,100000
"34",34,6.43615925083034,0.711388480182915,100000
"35",35,6.47756200781718,0.686642269124223,100000
